,size,method,time,memory,add,sub,mul,div,flops
0,10,gauss,0.0073626041412353516,0.02215404510498047,625.0,87.0,959.0,35.0,237654.54436394162
1,20,gauss,0.03230485916137695,0.057178306579589847,6209.0,359.0,7725.0,90.0,445361.87784305995
2,30,gauss,0.09470596313476562,0.12577056884765625,22361.0,763.0,25816.0,157.0,518503.28236001823
3,40,gauss,0.224446439743042,0.22247772216796874,55086.0,1438.0,61434.0,220.0,530244.6490880119
4,50,gauss,0.3946822166442871,0.34538116455078127,109036.0,2250.0,118967.0,291.0,584157.8880961377
5,60,gauss,0.675655746459961,0.49622573852539065,191947.0,3127.0,206237.0,374.0,594544.8535294186
6,70,gauss,1.06149263381958,0.6742012023925781,306558.0,4332.0,325922.0,445.0,600768.4195776038
7,80,gauss,1.6090675830841064,0.8802543640136719,463268.0,5716.0,488700.0,520.0,597291.0478137659
8,90,gauss,2.2105274200439453,1.1118766784667968,660072.0,7366.0,692129.0,595.0,615633.6468278546
9,100,gauss,3.059109830856323,1.372161865234375,911955.0,8977.0,951493.0,682.0,613249.5082527606
10,110,gauss,3.9817489624023437,1.6591781616210937,1216310.0,10808.0,1263576.0,769.0,625765.0374689773
