,size,method,time,memory,add,sub,mul,div,flops
0,10,inversion,0.003940296173095703,0.0124420166015625,867.0,55.0,1147.0,10.0,529909.0510075126
1,20,inversion,0.027806949615478516,0.04556694030761719,8134.0,210.0,9294.0,20.0,635282.1953615638
2,30,inversion,0.09213190078735352,0.10013542175292969,28757.0,463.0,31395.0,30.0,658305.8915248124
3,40,inversion,0.2323939323425293,0.17752571105957032,69868.0,820.0,74588.0,40.0,625336.328857513
4,50,inversion,0.488330078125,0.27663459777832033,138125.0,1301.0,145551.0,50.0,595473.4870178895
5,60,inversion,0.7862061023712158,0.39716224670410155,241114.0,1826.0,251790.0,60.0,629339.3416022492
6,70,inversion,1.260028028488159,0.5402431488037109,385019.0,2529.0,399623.0,70.0,625197.1005341603
7,80,inversion,1.8856135368347169,0.7048824310302735,578136.0,3240.0,597176.0,80.0,625595.9134289995
8,90,inversion,2.665345335006714,0.8902202606201172,825417.0,4181.0,849623.0,90.0,630261.7921488555
9,100,inversion,3.842748594284058,1.0993686676025392,1136250.0,5102.0,1166102.0,100.0,603263.2191578571
10,110,inversion,5.025230121612549,1.3288890838623046,1515463.0,6185.0,1551623.0,110.0,612649.5518344862
