,size,method,time,memory,add,sub,mul,div,flops
0,10,lu,0.00544443130493164,0.020429039001464845,394.0,67.0,623.0,30.0,206785.6764749671
1,20,lu,0.024176836013793945,0.053871536254882814,4172.0,294.0,5272.0,80.0,406150.8720041306
2,30,lu,0.07005167007446289,0.11402339935302734,15308.0,629.0,17847.0,142.0,484356.0540602226
3,40,lu,0.15367512702941893,0.19659347534179689,38092.0,1208.0,42844.0,200.0,535869.2459084478
4,50,lu,0.28527002334594725,0.30400791168212893,75740.0,1887.0,83205.0,266.0,564728.0163872818
5,60,lu,0.5039624691009521,0.43574962615966795,134048.0,2634.0,144846.0,344.0,561749.0726993298
6,70,lu,0.7616359710693359,0.5884370803833008,214424.0,3645.0,229124.0,410.0,587694.6657056704
7,80,lu,1.1780505657196045,0.7673656463623046,325040.0,4856.0,344536.0,480.0,574691.2215186453
8,90,lu,1.6136417865753174,0.9675149917602539,463386.0,6243.0,487975.0,550.0,594108.3230920549
9,100,lu,2.20000319480896,1.1934648513793946,641568.0,7626.0,672032.0,632.0,602110.6109034625
10,110,lu,2.9752612113952637,1.4428712844848632,856126.0,9173.0,892653.0,714.0,592885.7248973962
